Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,14,225,4030,913,4.4,21,10,249,318,530,2600,14,11,4.5,140,333,1430,4,4.3,77,87,677,32,28.8,11.3,85.81
2,San Francisco 49ers,14,234,4341,870,5,25,6,265,353,534,3089,15,19,5.4,159,293,1252,8,4.3,81,81,647,25,32.6,16.7,32.57
3,Kansas City Chiefs,14,245,4105,842,4.9,16,8,246,284,455,2559,18,8,5.1,143,341,1546,9,4.5,84,65,559,19,28.4,10.8,21.04
4,Buffalo Bills,14,254,4380,849,5.2,24,11,263,307,466,2809,17,13,5.5,156,338,1571,10,4.6,78,87,675,29,32.4,15.5,3.19
5,Dallas Cowboys,14,264,4120,834,4.9,21,8,256,244,409,2476,18,13,5.5,127,385,1644,13,4.3,94,89,827,35,30.4,14.2,27.85
6,New Orleans Saints,14,267,4366,877,5,22,8,250,262,457,2596,16,14,5.3,128,390,1770,9,4.5,92,86,637,30,31.7,13,37.68
7,Minnesota Vikings,14,269,4424,889,5,20,9,253,348,500,3136,17,11,5.8,162,348,1288,8,3.7,81,94,812,10,34.4,13,18.17
8,Atlanta Falcons,14,278,4364,884,4.9,15,8,251,278,452,2793,19,7,5.8,144,402,1571,5,3.9,79,92,732,28,35.8,9.4,32.79
9,Las Vegas Raiders,14,280,4682,903,5.2,19,8,278,313,462,2934,18,11,5.9,157,405,1748,12,4.3,98,82,730,23,33.8,11.7,-21.51
10,Pittsburgh Steelers,14,280,4855,907,5.4,21,8,264,282,470,3152,20,13,6.2,151,398,1703,8,4.3,84,80,670,29,34.8,13.3,0.35
11,New York Jets,14,287,4177,913,4.6,19,7,254,266,428,2386,15,12,5.1,131,446,1791,10,4,92,77,651,31,33.5,10.6,47.91
12,Cleveland Browns,14,289,3655,807,4.5,23,9,195,228,413,2224,17,14,4.9,103,353,1431,14,4.1,69,95,763,23,24.2,11.8,97.31
13,Tampa Bay Buccaneers,14,290,5038,900,5.6,20,9,283,340,515,3694,19,11,6.7,181,345,1344,11,3.9,83,83,691,19,36.8,13.2,-45.14
14,Miami Dolphins,14,294,4108,864,4.8,22,9,252,311,476,2843,17,13,5.4,148,340,1265,13,3.7,83,77,595,21,29.5,13.5,51.39
15,Houston Texans,14,295,4657,889,5.2,20,8,274,323,471,3348,14,12,6.6,153,380,1309,16,3.4,92,85,721,29,35.9,11.5,-42.46
16,New England Patriots,14,299,4316,895,4.8,14,5,254,322,488,3127,17,9,6,160,378,1189,10,3.1,72,68,482,22,32.5,8.6,14.69
17,Green Bay Packers,14,301,4899,900,5.4,16,10,288,290,439,2956,18,6,6.2,157,427,1943,13,4.6,107,80,783,24,39,10.3,-55.67
18,Tennessee Titans,14,301,4750,910,5.2,12,8,273,309,460,3170,15,4,6.3,151,409,1580,10,3.9,88,85,683,34,41.7,6.6,-53.3
19,Los Angeles Rams,14,310,4716,895,5.3,12,4,274,297,497,3165,19,8,6,159,368,1551,11,4.2,90,90,823,25,37.7,7.8,-42.41
20,Cincinnati Bengals,14,311,5354,891,6,23,8,307,313,473,3558,18,15,7,176,380,1796,15,4.7,109,80,695,22,37.3,14.4,-80.4
21,Jacksonville Jaguars,14,313,5042,897,5.6,25,11,266,342,523,3592,23,14,6.5,166,344,1450,12,4.2,85,94,864,15,32.3,14,-17.63
22,Chicago Bears,14,329,4466,856,5.2,23,5,252,346,514,3349,26,18,6.2,167,317,1117,7,3.5,65,68,502,20,35.5,14.5,-22.62
23,Detroit Lions,14,331,4492,854,5.3,15,6,279,293,470,3150,22,9,6.3,167,354,1342,14,3.8,80,70,613,32,37.5,9.9,-46.23
24,Seattle Seahawks,14,335,5092,943,5.4,19,8,308,331,504,3310,19,11,6.1,170,400,1782,19,4.5,106,86,690,32,39.1,12.2,-74.7
25,New York Giants,14,338,4994,891,5.6,22,9,283,303,474,3151,18,13,6.3,152,393,1843,19,4.7,106,85,719,25,35.2,12.3,-38.76
26,Philadelphia Eagles,14,341,4898,908,5.4,15,9,296,359,555,3576,30,6,6,186,314,1322,9,4.2,82,96,751,28,40,9.7,-79.7
27,Indianapolis Colts,14,343,4865,943,5.2,24,9,281,297,462,3081,16,15,6.1,149,435,1784,20,4.1,106,78,685,26,37,13.9,-10.12
28,Los Angeles Chargers,14,345,5254,935,5.6,17,10,300,339,515,3659,24,7,6.5,179,376,1595,16,4.2,91,87,631,30,36.7,10.1,-86.21
29,Carolina Panthers,14,348,4083,827,4.9,11,3,256,255,397,2432,17,8,5.8,135,410,1651,21,4,98,79,582,23,35.5,6.6,-38.46
30,Denver Broncos,14,351,5354,898,6,24,13,298,313,469,3297,25,11,6.5,168,393,2057,14,5.2,102,93,892,28,41.1,14.6,-85.54
31,Arizona Cardinals,14,376,5025,893,5.6,15,6,312,297,427,3070,26,9,6.7,171,434,1955,17,4.5,114,83,681,27,43.2,8.8,-126.93
32,Washington Commanders,14,423,5383,895,6,15,9,279,313,481,3707,32,6,7.1,169,376,1676,11,4.5,92,80,638,18,46.5,9,-122.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
